"user","dwellTime"
1,34.11
2,79.47
3,1.49
4,17.28
5,80.36
6,7.55
7,4.16
8,10.31
9,94.65
10,19.15
11,67.58
12,73.58
13,17.46
14,4.67
15,2.68
16,68.67
17,29.86
18,81.67
19,20.72
20,9.05
21,75.45
22,2.88
23,86.71
24,42.14
25,55.9
26,35.37
27,25.18
28,72.95
29,54.57
30,28.38
31,75.8
32,100.77
33,21.29
34,10.56
35,33.75
36,2.39
37,4.25
38,124.62
39,41.23
40,5.32
41,3.04
42,25.46
43,38.4
44,3.02
45,18.19
46,9.61
47,102.84
48,21.47
49,16.19
50,16.95
51,84.45
52,29.1
53,46.82
54,10.96
55,33.06
56,15.9
57,25.12
58,18.9
59,124.58
60,81.38
61,61.4
62,64.47
63,15.91
64,15.85
65,77.24
66,34.83
67,24.21
68,79.5
69,11.21
70,37.28
71,72.4
72,77.16
73,48.68
74,6.4
75,82.78
76,48.39
77,66.68
78,15.15
79,4.06
80,8.31
81,22.76
82,34.35
83,27.01
84,9.72
85,1.45
86,67.38
87,31.65
88,7.2
89,55.98
90,99.94
91,108.28
92,70.84
93,20.32
94,7.16
95,17.89
96,14.09
97,17.6
98,81.33
99,0.96
100,58.96
101,29.9
102,99.15
103,7.06
104,14.5
105,5.3
106,6.23
107,18.1
108,114.84
109,12
110,3.88
111,42.33
112,9.23
113,42.98
114,4.92
115,84.64
116,41.12
117,52.08
118,25.88
119,95.57
120,32.49
121,74.98
122,14.54
123,53.95
124,80.46
125,108.13
126,55.48
127,13.93
128,53.91
129,10.88
130,6.22
131,13.16
132,66.61
133,63.92
134,10.4
135,7.57
136,6.27
137,17.36
138,10.09
139,54.1
140,19.72
141,2.84
142,14.71
143,5.91
144,69.22
145,61.92
146,94.1
147,11.62
148,35.02
149,29.94
150,58.1
151,62.65
152,105.45
153,13.86
154,47.6
155,63.57
156,43.51
157,18.1
158,89.08
159,3.1
160,96
161,55.33
162,12.02
163,7.52
164,13.97
165,5.4
166,3.26
167,2.05
168,23.04
169,10.8
170,14.32
171,59.26
172,1.38
173,82.19
174,40.3
175,10.57
176,59.76
177,16.38
178,24.46
179,11.16
180,7.12
181,1.99
182,69.94
183,32.3
184,21.22
185,17.8
186,24.02
187,20.64
188,31.36
189,11.88
190,9.87
191,76.79
192,10.53
193,85.07
194,8.01
195,2.3
196,122.61
197,59.25
198,16.19
199,18.33
200,19.26
201,6.06
202,53.01
203,38.47
204,29.31
205,18.62
206,5.49
207,4.42
208,11.67
209,93.31
210,10.59
211,46.94
212,98.45
213,16.84
214,61.02
215,23.07
216,6.94
217,48.04
218,3.58
219,19.01
220,7.29
221,105.54
222,116.74
223,22.69
224,3.17
225,2.79
226,53.99
227,4.92
228,19.73
229,49.14
230,25.54
231,41.33
232,12.15
233,2.83
234,29.24
235,95.36
236,4.47
237,25.86
238,36.88
239,1.65
240,76.19
241,55.73
242,19.16
243,114.49
244,75.37
245,8.95
246,4.64
247,111.2
248,27.74
249,78.7
250,30.89
251,65.18
252,12.91
253,6.2
254,93.47
255,6.24
256,15.7
257,19.44
258,12.86
259,44.82
260,116.15
261,6.16
262,82.39
263,29.26
264,17.4
265,15.4
266,3.4
267,23.66
268,68.47
269,9.26
270,23.26
271,11.54
272,13.18
273,3.59
274,12.4
275,31.72
276,3.62
277,10.77
278,13.34
279,22.4
280,106.16
281,15.69
282,75.47
283,95.83
284,8
285,98.77
286,7.46
287,100.93
288,24.42
289,82.44
290,74.29
291,3.09
292,3.93
293,8.85
294,20.13
295,4.2
296,1
297,5.9
298,46.02
299,18.26
300,2.49
301,20.58
302,36.49
303,17.7
304,77.74
305,4.63
306,70.17
307,57.16
308,22.23
309,70.55
310,3.67
311,0.15
312,63.71
313,99.57
314,15.73
315,11.36
316,28.74
317,1.73
318,4.7
319,12.85
320,80.98
321,116.66
322,27.4
323,53.58
324,10.08
325,80.33
326,29.16
327,23.34
328,24.94
329,53.49
330,5.7
331,13.99
332,70.12
333,1.6
334,22.86
335,23.09
336,2.33
337,19.85
338,4
339,4.55
340,29.66
341,49.29
342,54.8
343,10.41
344,0.9
345,0.18
346,66.07
347,3.73
348,10.78
349,10.42
350,60.98
351,16.96
352,12.87
353,12.58
354,121.44
355,5.18
356,1.95
357,8.2
358,81.21
359,56.65
360,10.27
361,11.38
362,16.06
363,27.57
364,14.26
365,45.98
366,64.94
367,69.63
368,13.13
369,85.11
370,19.82
371,15.37
372,66.52
373,53.07
374,28.13
375,18.2
376,3.68
377,5.82
378,1.45
379,6.71
380,22.51
381,75.4
382,102.78
383,67.79
384,9.86
385,23.68
386,46.63
387,91.02
388,15
389,1.26
390,24.23
391,60.23
392,75.22
393,90.73
394,86.68
395,14.21
396,28.08
397,29.67
398,19.92
399,23.28
400,14.04
401,22.5
402,23.5
403,67.74
404,83.7
405,67.73
406,10.13
407,44.53
408,0.79
409,5.35
410,49.36
411,18.38
412,36.05
413,7.97
414,62.81
415,0.18
416,45.82
417,79.82
418,7.43
419,65.77
420,10.71
421,5.79
422,30.67
423,13.51
424,0.5
425,42.21
426,19.25
427,95.27
428,38.5
429,20.74
430,20.42
431,20.21
432,13.68
433,54.05
434,14.78
435,33.6
436,84.65
437,76.64
438,86.89
439,35.01
440,61.18
441,19.01
442,24.64
443,27.48
444,94.85
445,12.39
446,5.9
447,12.41
448,27.22
449,75.78
450,7.71
451,14.25
452,95.8
453,140.01
454,20.73
455,80.3
456,14.74
457,46.13
458,117.11
459,5.76
460,7.32
461,58.46
462,4.37
463,84.15
464,75.34
465,1.33
466,83.79
467,17.14
468,51.56
469,55.97
470,8.48
471,59.8
472,30.06
473,32.5
474,46.31
475,3.43
476,0.66
477,38.31
478,12.44
479,27.7
480,30.54
481,2.45
482,23.96
483,20.45
484,7.19
485,49.14
486,54.25
487,19.27
488,66.95
489,84.29
490,3.51
491,29.94
492,1.81
493,8.26
494,69.52
495,1.95
496,98.01
497,4.02
498,2.62
499,6.88
500,71.1
501,2.62
502,88.78
503,6.83
504,62.61
505,18.52
506,98.55
507,71.01
508,71.84
509,8.35
510,14.6
511,15.02
512,3.25
513,52.17
514,70.96
515,15.51
516,21.95
517,1.01
518,68.42
519,19.52
520,64.6
521,11.48
522,6.33
523,24.88
524,12.48
525,108.85
526,0.52
527,33.92
528,19.6
529,12.86
530,47.77
531,72.57
532,6.8
533,74.41
534,55.15
535,76.43
536,62.46
537,104.22
538,11.22
539,6.78
540,89.2
541,62.18
542,1.16
543,8.5
544,76
545,16.01
546,38.7
547,52.83
548,19.66
549,120.92
550,18.64
551,23.1
552,11.83
553,41.19
554,2.32
555,8.23
556,89.75
557,6.63
558,49.22
559,76.68
560,10.81
561,46.79
562,69.68
563,22.18
564,28.35
565,3.78
566,18.02
567,48.14
568,64.27
569,9.16
570,75.49
571,73.83
572,23.39
573,2.58
574,5.38
575,26.95
576,4.13
577,31.47
578,5.33
579,15.23
580,32.99
