"user","dwellTime"
1,14.56
2,6.53
3,102.99
4,37.06
5,7.97
6,10.76
7,20.99
8,2.36
9,49.11
10,26.8
11,2.91
12,83.08
13,62.89
14,34.39
15,12.06
16,34.87
17,19.62
18,50.49
19,64.71
20,15.71
21,79.29
22,0.93
23,28.69
24,111.12
25,16.6
26,102.23
27,27.6
28,16.86
29,24.22
30,134.33
31,27.69
32,17.46
33,51.54
34,9.22
35,11.19
36,28.06
37,24.08
38,13.47
39,9.77
40,72.2
41,22.77
42,36.37
43,24.39
44,102.03
45,107.84
46,71.41
47,2.63
48,130.24
49,84.94
50,86.99
51,12.94
52,31.8
53,6.16
54,34.07
55,5.88
56,67.21
57,7.27
58,2.9
59,12.75
60,13.7
61,2.49
62,11.64
63,24.66
64,56.32
65,93.45
66,49.08
67,22.57
68,3.78
69,14.53
70,5.57
71,22.48
72,24.56
73,18.49
74,56.8
75,85.93
76,69.81
77,71.22
78,4.71
79,35.12
80,103.8
81,14.2
82,6.89
83,12.27
84,3.07
85,2.06
86,48.15
87,23.9
88,38.96
89,67.62
90,10.34
91,16.15
92,15.24
93,9.32
94,38.18
95,37.66
96,11.31
97,31.12
98,3.31
99,1.31
100,6.5
101,41.07
102,0.99
103,28.86
104,109.86
105,94.35
106,0.24
107,2.46
108,14.98
109,133.88
110,2.22
111,19.44
112,47.45
113,60.44
114,0.44
115,9.84
116,22.93
117,5.73
118,20.78
119,22.28
120,5.83
121,3.26
122,66.11
123,23.64
124,1.67
125,8.06
126,30.84
127,103.33
128,9.5
129,11.36
130,58.07
131,8.8
132,80.25
133,13.17
134,33.05
135,19.25
136,90.02
137,15.9
138,52.29
139,15.66
140,39.49
141,90
142,76.62
143,25.58
144,92.44
145,0.93
146,1.61
147,16.47
148,29.32
149,28
150,40.16
151,26.78
152,52.9
153,106.17
154,9.84
155,19.17
156,7.64
157,28.96
158,54.04
159,9.73
160,121.66
161,67.04
162,28.87
163,8.39
164,25.15
165,35.2
166,6.14
167,26.2
168,2.08
169,36.99
170,30.54
171,57.07
172,80.94
173,4.52
174,2.71
175,2.63
176,75.41
177,57.33
178,16.63
179,5.36
180,43.02
181,7.29
182,0.7
183,5.08
184,2.63
185,8.36
186,73.17
187,103.17
188,14.36
189,78.98
190,33.49
191,23.55
192,41.14
193,107.21
194,7.02
195,10.31
196,41.93
197,13.9
198,0.56
199,107.41
200,67.61
201,11.29
202,6.46
203,66.7
204,69.59
205,2.01
206,12.91
207,0.85
208,51.87
209,89.82
210,32.23
211,69.41
212,0.01
213,5.45
214,8.83
215,18.58
216,105.37
217,29.65
218,73.03
219,62.03
220,17.5
221,15.14
222,3.34
223,79.94
224,69.95
225,3.55
226,103.28
227,32.57
228,107.66
229,15.02
230,1.85
231,126.01
232,15.47
233,57.12
234,26.97
235,21.48
236,4.69
237,25.05
238,13.96
239,74.64
240,18.05
241,87.92
242,8.31
243,15.55
244,50.58
245,9.4
246,9.87
247,1.4
248,65.08
249,93.02
250,166.59
251,118.94
252,2.32
253,8.18
254,1.78
255,20.38
256,18.62
257,6.46
258,89.19
259,19.77
260,78.68
261,76.92
262,14.38
263,72.7
264,56.5
265,50.11
266,140.8
267,14.06
268,5.79
269,54.26
270,5.77
271,83.47
272,126.26
273,2.61
274,10.3
275,9.76
276,13.82
277,35.48
278,4.98
279,18.73
280,18.9
281,0.12
282,52.76
283,0.75
284,4.01
285,5.21
286,20.5
287,92.64
288,134.1
