"ozone","radiation","temperature","wind"
4.1,190,67,7.4
3.6,118,72,8
1.2,149,74,12.6
1.8,313,62,11.5
2.3,299,65,8.6
1.9,99,59,13.8
0.8,19,61,20.1
1.6,256,69,9.7
1.1,290,66,9.2
1.4,274,68,10.9
1.8,65,58,13.2
1.4,334,64,11.5
3.4,307,66,12
0.6,78,57,18.4
3,322,68,11.5
1.1,44,62,9.7
0.1,8,59,9.7
1.1,320,73,16.6
0.4,25,61,9.7
3.2,92,61,12
2.3,13,67,12
4.5,252,81,14.9
11.5,223,79,5.7
3.7,279,76,7.4
2.9,127,82,9.7
7.1,291,90,13.8
3.9,323,87,11.5
2.3,148,82,8
2.1,191,77,14.9
3.7,284,72,20.7
2,37,65,9.2
1.2,120,73,11.5
1.3,137,76,10.3
13.5,269,84,4
4.9,248,85,9.2
3.2,236,81,9.2
6.4,175,83,4.6
4,314,83,10.9
7.7,276,88,5.1
9.7,267,92,6.3
9.7,272,92,5.7
8.5,175,89,7.4
1,264,73,14.3
2.7,175,81,14.9
0.7,48,80,14.3
4.8,260,81,6.9
3.5,274,82,10.3
6.1,285,84,6.3
7.9,187,87,5.1
6.3,220,85,11.5
1.6,7,74,6.9
8,294,86,8.6
10.8,223,85,8
2,81,82,8.6
5.2,82,86,12
8.2,213,88,7.4
5,275,86,7.4
6.4,253,83,7.4
5.9,254,81,9.2
3.9,83,81,6.9
0.9,24,81,13.8
1.6,77,82,7.4
12.2,255,89,4
8.9,229,90,10.3
11,207,90,8
4.4,192,86,11.5
2.8,273,82,11.5
6.5,157,80,9.7
2.2,71,77,10.3
5.9,51,79,6.3
2.3,115,76,7.4
3.1,244,78,10.9
4.4,190,78,10.3
2.1,259,77,15.5
0.9,36,72,14.3
4.5,212,79,9.7
16.8,238,81,3.4
7.3,215,86,8
7.6,203,97,9.7
11.8,225,94,2.3
8.4,237,96,6.3
8.5,188,94,6.3
9.59999999999999,167,91,6.9
7.8,197,92,5.1
7.3,183,93,2.8
9.1,189,93,4.6
4.7,95,87,7.4
3.2,92,84,15.5
2,252,80,10.9
2.3,220,78,10.3
2.1,230,75,10.9
2.4,259,73,9.7
4.4,236,81,14.9
2.1,259,76,15.5
2.8,238,77,6.3
0.9,24,71,10.9
1.3,112,71,11.5
4.6,237,78,6.9
1.8,224,67,13.8
1.3,27,76,10.3
2.4,238,68,10.3
1.6,201,82,8
1.3,238,64,12.6
2.3,14,71,9.2
3.6,139,81,10.3
0.7,49,69,10.3
1.4,20,63,16.6
3,193,70,6.9
1.4,191,75,14.3
1.8,131,76,8
2,223,68,11.5
