LicensePlate,RegistrationId,Expired
SVT 6023,285429838,1
XLZ 3463,362715656,0
BAC 1005,876133137,1
RIV 8632,992711956,0
SNY 7188,592133890,0
ELH 9896,678427724,1
AJI 9617,554616290,1
DHX 8152,403444305,0
DFK 7468,657847254,0
FWV 7618,872397286,1
QFX 9067,177921895,1
EQV 2972,999975427,0
QSV 1908,756184647,1
DXE 5291,586715717,0
RMV 8282,814267307,1
YHN 6970,399330126,0
VFE 1616,662160482,1
QYF 9358,159869436,1
RCD 1962,648883217,1
MDR 6128,302862819,1
AJW 1560,353482534,1
YZK 5704,352292790,1
NBH 5464,861773939,1
CTK 9400,217628506,1
QVR 6127,255490862,0
PGZ 6118,157092987,0
VOQ 5647,973114555,0
NEV 6782,617854059,1
RZH 1580,519132781,0
FBF 2357,502209879,0
AKV 2823,922266335,0
NZZ 1151,688166796,0
ZPU 3917,478382729,1
XZG 2190,907527964,0
WOU 5626,417145114,1
ARD 2754,546865127,1
GIG 8056,219753972,1
ORI 1209,187557329,1
SXQ 3297,338349758,0
FXM 6740,387740978,0
GZP 1016,985084150,1
EUC 2718,156252283,0
TCV 6784,615677152,0
VWL 9164,822851518,0
IUL 6824,999105333,1
CQZ 8858,585589569,0
AOR 4413,879551036,0
UNV 5870,570259628,0
QOI 3249,820567192,0
XIE 2352,695207776,0
NNU 5341,191086738,0
DWO 7319,676605835,0
OLZ 2101,208449790,0
QUG 3375,111689324,0
HVV 5774,956406923,0
YWX 5202,859905755,0
OHK 4518,479611996,1
PYX 3691,712458126,0
MUF 9181,567688461,1
YHM 3947,269219199,0
QPX 4242,781120806,1
DCP 6734,613508032,1
WGJ 6334,697110279,0
NZE 5324,157420867,0
ZAI 1306,565510851,1
WFD 2415,797971287,1
TGE 2112,261743532,1
SVF 4606,140129301,0
MJP 4743,814841499,0
CDN 7801,437485150,1
LCP 1361,800199098,0
SSM 5901,854145019,0
XKV 6231,776332809,0
YPZ 1468,594540810,0
ZLL 9311,149582209,1
IZW 5092,700091470,0
ZRB 8941,730675532,0
VYN 2658,559177136,0
JNJ 3617,848938536,1
SKN 4824,166795078,0
XUQ 8411,313102980,1
